epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
36,154.26,0.90754,0.44615,0.00855,0.00025,0.97512,1,0.99243,0.70222,1.05608,0.29098,0.01022,0.00012,0.001538,0.001538,0.001538
44,174.505,0.91624,0.42659,0.00907,0.00046,0.98786,0.99212,0.99343,0.66346,1.20082,0.31464,0.00927,6e-05,0.00165944,0.00165944,0.00165944
37,158.356,0.85575,0.42055,0.00863,0.00029,0.97618,0.99968,0.99281,0.71206,1.02141,0.29311,0.01013,0.00021,0.0015248,0.0015248,0.0015248
45,178.621,0.92755,0.45325,0.00905,0.00028,0.98779,0.98656,0.9933,0.65715,1.21606,0.31755,0.00932,6e-05,0.00165152,0.00165152,0.00165152
38,162.496,0.84427,0.36102,0.00813,0.00032,0.97428,1,0.99305,0.71353,1.00964,0.30145,0.00913,0.00023,0.0015116,0.0015116,0.0015116
46,182.764,0.98289,0.44965,0.01015,0.00033,0.98793,0.99781,0.99295,0.67797,1.1521,0.30905,0.00907,0.00014,0.0016436,0.0016436,0.0016436
47,186.93,0.87312,0.35631,0.0089,0.00037,0.98401,1,0.99343,0.69721,1.06391,0.29236,0.0091,0.00022,0.00163568,0.00163568,0.00163568
39,166.755,0.82356,0.37849,0.00919,0.00036,0.98792,0.99709,0.99319,0.70588,0.99481,0.28263,0.00908,0.00031,0.0014984,0.0014984,0.0014984
40,171.239,0.91363,0.42325,0.00878,0.00029,0.98403,0.9878,0.99318,0.70612,1.01202,0.29782,0.00916,0.00024,0.0014852,0.0014852,0.0014852
48,191.607,0.91255,0.44575,0.00973,0.00028,0.97531,1,0.99366,0.70345,1.06067,0.29029,0.00965,0.00013,0.00162776,0.00162776,0.00162776
41,175.378,0.88802,0.45452,0.00954,0.00015,0.97486,1,0.99319,0.69713,1.01106,0.30697,0.00905,7e-05,0.001472,0.001472,0.001472
49,195.722,0.91198,0.39799,0.00984,0.00016,0.96368,0.97561,0.99155,0.67884,1.06008,0.31121,0.00974,5e-05,0.00161984,0.00161984,0.00161984
42,179.487,0.87202,0.39203,0.00984,0.00047,0.97308,1,0.99379,0.70482,1.03629,0.31556,0.00898,0.0001,0.0014588,0.0014588,0.0014588
50,199.803,0.89252,0.4108,0.00929,0.00012,0.97587,0.98655,0.9927,0.66324,1.06622,0.29471,0.00948,4e-05,0.00161192,0.00161192,0.00161192
51,204.011,0.89453,0.3905,0.00861,0.00019,0.98778,0.98603,0.99366,0.70714,1.03089,0.2805,0.00904,3e-05,0.001604,0.001604,0.001604
43,183.799,0.85957,0.40113,0.00896,0.00093,0.98646,1,0.99331,0.7162,1.04912,0.29255,0.00883,0.00017,0.0014456,0.0014456,0.0014456
44,187.901,0.88728,0.39383,0.00903,0.00083,0.9732,1,0.99305,0.70424,1.05976,0.2917,0.00881,7e-05,0.0014324,0.0014324,0.0014324
52,208.185,0.8142,0.36694,0.00885,0.00014,0.98758,0.9878,0.99391,0.71288,1.0547,0.28325,0.00913,0.00011,0.00159608,0.00159608,0.00159608
